"X","artist_name","genres","followers","artist_popularity","artist_url","track_name","album_name","release_date","duration_ms","explicit","track_popularity","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","cluster_kmeans","cluster_pam","cluster_clara"
155,"Aventura","bachata, bachata dominicana, latin hip hop, latin pop, tropical, urbano latino",8480094,74,"https://open.spotify.com/artist/1qto4hHid1P71emI6Fd8xi","Enseñame a Olvidar","We Broke The Rules","2002-06-01",348826,"False",74,0.781,0.491,8,-8.793,1,0.0444,0.471,0,0.0972,0.913,124.971,1,3,3
64,"Anuel AA","reggaeton, reggaeton flow, trap boricua, trap latino, urbano latino",37214358,76,"https://open.spotify.com/artist/2R21vXR83lH98kGeO99Y66","SERIO CON ESE Q","SERIO CON ESE Q","2024-07-25",247468,"True",76,0.693,0.775,8,-4.244,1,0.0665,0.296,0,0.232,0.501,93.013,2,1,1
67,"Anuel AA","reggaeton, reggaeton flow, trap boricua, trap latino, urbano latino",37214358,75,"https://open.spotify.com/artist/2R21vXR83lH98kGeO99Y66","Adicto (with Anuel AA & Ozuna)","Adicto (with Anuel AA & Ozuna)","2019-08-22",270740,"False",75,0.734,0.836,10,-4.803,0,0.0735,0.017,1.64e-05,0.179,0.623,80.002,2,2,2
138,"Romeo Santos","bachata, latin hip hop, latin pop, urbano latino",22006054,80,"https://open.spotify.com/artist/5lwmRuXgjX8xIwlnauTZIP","X SI VOLVEMOS","MAÑANA SERÁ BONITO","2023-02-24",200120,"True",80,0.796,0.806,1,-3.441,0,0.321,0.332,0,0.104,0.56,178.007,3,1,1
139,"Romeo Santos","bachata, latin hip hop, latin pop, urbano latino",22006054,80,"https://open.spotify.com/artist/5lwmRuXgjX8xIwlnauTZIP","ÁNGEL","ÁNGEL","2024-07-25",184095,"False",80,0.826,0.596,11,-5.262,1,0.0357,0.292,0,0.166,0.869,127.922,2,2,2
144,"Romeo Santos","bachata, latin hip hop, latin pop, urbano latino",22006054,75,"https://open.spotify.com/artist/5lwmRuXgjX8xIwlnauTZIP","Ella Quiere Beber - Remix","Ella Quiere Beber (Remix)","2018-11-02",219357,"False",75,0.75,0.665,8,-3.083,1,0.124,0.265,0,0.0515,0.697,95.239,2,1,1
269,"Arcángel","latin hip hop, reggaeton, trap latino, urbano latino",15017847,76,"https://open.spotify.com/artist/4SsVbpTthjScTS7U2hmr1X","Tu No Vive Asi (feat. Mambo Kingz & DJ Luian)","Tu No Vive Asi (feat. Mambo Kingz & DJ Luian)","2016-09-30",264000,"True",76,0.815,0.514,6,-9.446,0,0.361,0.54,0,0.611,0.623,120.054,3,3,3
465,"Alfredo Olivas","banda, corrido, musica mexicana, norteno, sad sierreno, sierreno",8774350,71,"https://open.spotify.com/artist/5xYNmNkaWRqu3e5F4UXME8","El Sillón","El Día De Los Muertos","2019-10-25",199293,"False",71,0.774,0.595,2,-4.267,0,0.0345,0.175,1.38e-05,0.187,0.934,115.035,2,1,1
462,"Alfredo Olivas","banda, corrido, musica mexicana, norteno, sad sierreno, sierreno",8774350,74,"https://open.spotify.com/artist/5xYNmNkaWRqu3e5F4UXME8","Yo Todo Lo Doy","ALFA & OMEGA","2022-09-30",202453,"False",74,0.597,0.725,2,-6.686,0,0.136,0.306,0.000161,0.3,0.8,189.96,3,1,1
937,"Alvaro Diaz","trap boricua, urbano latino",842057,68,"https://open.spotify.com/artist/5J7rXWjtn5HzUkJ4Jet8Fr","PARANORMAL","DATA","2023-06-29",197935,"False",68,0.457,0.89,3,-4.074,1,0.179,0.116,3.71e-06,0.674,0.67,175.777,3,1,1
147,"Aventura","bachata, bachata dominicana, latin hip hop, latin pop, tropical, urbano latino",8480094,79,"https://open.spotify.com/artist/1qto4hHid1P71emI6Fd8xi","Ella Y Yo - Featuring Don Omar","God's Project","2005-04-26",267786,"False",79,0.732,0.708,9,-7.905,0,0.262,0.534,0,0.237,0.717,175.924,3,1,1
633,"La Arrolladora Banda El Limón De Rene Camacho","banda, musica mexicana, norteno",7005423,69,"https://open.spotify.com/artist/5bSfBBCxY8QAk4Pifveisz","Ya No Te Buscaré","Todo Depende De Ti","2010-01-01",191066,"False",69,0.703,0.566,0,-5.931,1,0.0274,0.267,0.000102,0.163,0.824,129.919,1,1,1
629,"La Arrolladora Banda El Limón De Rene Camacho","banda, musica mexicana, norteno",7005423,69,"https://open.spotify.com/artist/5bSfBBCxY8QAk4Pifveisz","Si Tu Amor No Vuelve","La Otra Cara De La Moneda","2005-01-01",247600,"False",69,0.728,0.408,0,-6.66,1,0.0401,0.807,1.45e-05,0.0727,0.806,124.02,1,3,3
800,"Rauw Alejandro","puerto rican pop, reggaeton, trap latino, urbano latino",22919287,81,"https://open.spotify.com/artist/1mcTU81TzQhprhouKaTkpq","DILUVIO","PLAYA SATURNO","2023-07-07",197052,"True",81,0.845,0.795,9,-3.502,0,0.0681,0.343,1.78e-05,0.224,0.681,94.969,2,2,2
