"ep","cases_with_ep","support"
"10851(A)VC TAKE VEH W/O OWNER -> 459 PC  BURGLARY VEHICLE",268,0.442244224422442
"10851(A)VC TAKE VEH W/O OWNER -> 10851(A)VC TAKE VEH W/O OWNER",262,0.432343234323432
"10851(A)VC TAKE VEH W/O OWNER -> TOWED/STORED VEHICLE",236,0.389438943894389
"10851(A)VC TAKE VEH W/O OWNER -> 459 PC  BURGLARY RESIDENCE",227,0.374587458745875
"10851(A)VC TAKE VEH W/O OWNER -> TOWED/STORED VEH-14602.6",219,0.361386138613861
"10851(A)VC TAKE VEH W/O OWNER -> 594(B)(2)(A) VANDALISM/ -$400",211,0.348184818481848
"10851(A)VC TAKE VEH W/O OWNER -> 459 PC  BURGLARY BUSINESS",203,0.334983498349835
"10851(A)VC TAKE VEH W/O OWNER -> TRAFFIC-ACCIDENT INJURY",196,0.323432343234323
"10851(A)VC TAKE VEH W/O OWNER -> MISSING PERSON",192,0.316831683168317
"10851(A)VC TAKE VEH W/O OWNER -> TRAFFIC-ACCIDENT-NON INJURY",192,0.316831683168317
"10851(A)VC TAKE VEH W/O OWNER -> 10851 VC AUTO THEFT LOCATE",189,0.311881188118812
"459 PC  BURGLARY VEHICLE -> 459 PC  BURGLARY VEHICLE",188,0.31023102310231
"TOWED/STORED VEHICLE -> TOWED/STORED VEHICLE",184,0.303630363036304
"TOWED/STORED VEHICLE -> 459 PC  BURGLARY VEHICLE",182,0.3003300330033
"459 PC  BURGLARY VEHICLE -> 10851(A)VC TAKE VEH W/O OWNER",178,0.293729372937294
"TOWED/STORED VEHICLE -> 10851(A)VC TAKE VEH W/O OWNER",177,0.292079207920792
"TOWED/STORED VEHICLE -> TOWED/STORED VEH-14602.6",171,0.282178217821782
"10851(A)VC TAKE VEH W/O OWNER -> CASUALTY REPORT",167,0.275577557755776
"10851(A)VC TAKE VEH W/O OWNER -> 484 PETTY THEFT/LICENSE PLATE",163,0.268976897689769
"459 PC  BURGLARY RESIDENCE -> 459 PC  BURGLARY VEHICLE",163,0.268976897689769
"459 PC  BURGLARY RESIDENCE -> 10851(A)VC TAKE VEH W/O OWNER",161,0.265676567656766
"459 PC  BURGLARY RESIDENCE -> TOWED/STORED VEHICLE",161,0.265676567656766
"10851(A)VC TAKE VEH W/O OWNER -> 5150 WI DANGER SELF/OTHERS",160,0.264026402640264
"10851(A)VC TAKE VEH W/O OWNER -> 594(B)(1)PC  VANDALISM +$400",159,0.262376237623762
"459 PC  BURGLARY VEHICLE -> TOWED/STORED VEHICLE",159,0.262376237623762
"10851(A)VC TAKE VEH W/O OWNER -> 11364 HS POSS DRUG PARAPH",158,0.260726072607261
"459 PC  BURGLARY VEHICLE -> 459 PC  BURGLARY RESIDENCE",155,0.255775577557756
"10851(A)VC TAKE VEH W/O OWNER -> 20002(A) HIT/RUN",154,0.254125412541254
"459 PC  BURGLARY RESIDENCE -> TOWED/STORED VEH-14602.6",154,0.254125412541254
"TOWED/STORED VEHICLE -> 459 PC  BURGLARY RESIDENCE",154,0.254125412541254
"459 PC  BURGLARY VEHICLE -> TOWED/STORED VEH-14602.6",153,0.252475247524752
"TOWED/STORED VEH-14602.6 -> 459 PC  BURGLARY VEHICLE",153,0.252475247524752
"10851(A)VC TAKE VEH W/O OWNER -> 487(A) PC GRAND THEFT",149,0.245874587458746
"TOWED/STORED VEH-14602.6 -> TOWED/STORED VEHICLE",149,0.245874587458746
