"ep","cases_with_ep","support"
"459 PC  BURGLARY RESIDENCE -> TRAFFIC-ACCIDENT INJURY",31,0.0511551155115512
"MISSING PERSON -> TOWED/STORED VEH-14602.6",31,0.0511551155115512
"TOWED/STORED VEH-14602.6 -> TRAFFIC-ACCIDENT-NON INJURY",31,0.0511551155115512
"TOWED/STORED VEHICLE -> TRAFFIC-ACCIDENT INJURY",31,0.0511551155115512
"TRAFFIC-ACCIDENT INJURY -> 10851(A)VC TAKE VEH W/O OWNER",31,0.0511551155115512
"TRAFFIC-ACCIDENT INJURY -> 459 PC  BURGLARY VEHICLE",30,0.0495049504950495
"TRAFFIC-ACCIDENT-NON INJURY -> 10851(A)VC TAKE VEH W/O OWNER",30,0.0495049504950495
"TRAFFIC-ACCIDENT-NON INJURY -> TOWED/STORED VEHICLE",30,0.0495049504950495
"459 PC  BURGLARY VEHICLE -> TRAFFIC-ACCIDENT INJURY",29,0.0478547854785479
"594(B)(2)(A) VANDALISM/ -$400 -> TOWED/STORED VEHICLE",29,0.0478547854785479
"MISSING PERSON -> 459 PC  BURGLARY VEHICLE",29,0.0478547854785479
"10851(A)VC TAKE VEH W/O OWNER -> 242 PC  BATTERY CIVILIAN",28,0.0462046204620462
"10851(A)VC TAKE VEH W/O OWNER -> 484 PETTY THEFT-SHOPLIFT",28,0.0462046204620462
"459 PC  BURGLARY RESIDENCE -> FOUND PROPERTY - I RPT",28,0.0462046204620462
"594(B)(2)(A) VANDALISM/ -$400 -> 459 PC  BURGLARY VEHICLE",28,0.0462046204620462
"10851 VC AUTO THEFT LOCATE -> 10851 VC AUTO THEFT LOCATE",27,0.0445544554455446
"10851(A)VC TAKE VEH W/O OWNER -> 11377(A)HS POSS AMPHETAMINES",27,0.0445544554455446
"10851(A)VC TAKE VEH W/O OWNER -> 211 PC  ROBBERY UNSPECIFIED",27,0.0445544554455446
"211 PC  ROBBERY UNSPECIFIED -> 10851(A)VC TAKE VEH W/O OWNER",27,0.0445544554455446
"243(E)1 BATTERY NONCOHAB SPOUS -> 10851(A)VC TAKE VEH W/O OWNER",27,0.0445544554455446
"459 PC  BURGLARY VEHICLE -> 20002(A) HIT/RUN",27,0.0445544554455446
"594(B)(1)PC  VANDALISM +$400 -> 10851(A)VC TAKE VEH W/O OWNER",27,0.0445544554455446
"MISSING PERSON -> MISSING PERSON",27,0.0445544554455446
"TOWED/STORED VEH-14602.6 -> 594(B)(2)(A) VANDALISM/ -$400",27,0.0445544554455446
"TOWED/STORED VEH-14602.6 -> MISSING PERSON",27,0.0445544554455446
