district,ep,cases_with_ep,support
1,484 PETTY THEFT/LICENSE PLATE -> 459 PC  BURGLARY RESIDENCE,2,0.022727273
1,484 PETTY THEFT/LICENSE PLATE -> 459 PC  BURGLARY VEHICLE,2,0.022727273
1,484 PETTY THEFT/LICENSE PLATE -> NON INJ HR/MAIL OUT REPORT,2,0.022727273
1,484 PETTY THEFT/LICENSE PLATE -> TOWED/STORED VEHICLE,2,0.022727273
1,484 PETTY THEFT/LICENSE PLATE -> TRAFFIC-ACCIDENT-NON INJURY,2,0.022727273
1,484J PC PUBLISH CARD INFO -> 484 PC   PETTY THEFT/INSIDE,2,0.022727273
1,487(A) PC GRAND THEFT -> 459 PC  BURGLARY VEHICLE,2,0.022727273
1,5150 WI DANGER SELF/OTHERS -> 10851(A)VC TAKE VEH W/O OWNER,2,0.022727273
1,5150 WI DANGER SELF/OTHERS -> TOWED/STORED VEHICLE,2,0.022727273
1,530.5 PC USE PERSONAL ID INFO -> 594(B)(2)(A) VANDALISM/ -$400,2,0.022727273
1,530.5 PC USE PERSONAL ID INFO -> CASUALTY REPORT,2,0.022727273
1,594(B)(1)PC  VANDALISM +$400 -> 10851(A)VC TAKE VEH W/O OWNER,2,0.022727273
1,594(B)(1)PC  VANDALISM +$400 -> 484 PETTY THEFT/LICENSE PLATE,2,0.022727273
1,594(B)(1)PC  VANDALISM +$400 -> 5150 WI DANGER SELF/OTHERS,2,0.022727273
1,594(B)(1)PC  VANDALISM +$400 -> VANDALISM - I RPT,2,0.022727273
1,594(B)(2)(A) VANDALISM/ -$400 -> 459 PC  BURGLARY VEHICLE,2,0.022727273
1,594(B)(2)(A) VANDALISM/ -$400 -> 594(B)(2)(A) VANDALISM/ -$400,2,0.022727273
1,CASUALTY REPORT -> 459 PC  BURGLARY VEHICLE,2,0.022727273
1,FOUND PROPERTY - I RPT -> 10851 VC AUTO THEFT LOCATE,2,0.022727273
1,FRAUD OR BUNCO - I RPT -> 10851(A)VC TAKE VEH W/O OWNER,2,0.022727273
1,LOST PROPERTY - I RPT -> 10851 VC AUTO THEFT LOCATE,2,0.022727273
1,LOST PROPERTY - I RPT -> 10851(A)VC TAKE VEH W/O OWNER,2,0.022727273
1,MISSING PERSON -> TOWED/STORED VEHICLE,2,0.022727273
1,SUSP PERS-NO CRIME - I RPT -> 10851(A)VC TAKE VEH W/O OWNER,2,0.022727273
1,TOWED/STORED VEH-14602.6 -> TOWED/STORED VEH-14602.6,2,0.022727273
1,TOWED/STORED VEHICLE -> 10851(A)VC TAKE VEH W/O OWNER,2,0.022727273
1,TOWED/STORED VEHICLE -> 211 PC ROBBERY- BUSINESS,2,0.022727273
1,TOWED/STORED VEHICLE -> TOWED/STORED VEH-14602.6,2,0.022727273
1,TOWED/STORED VEHICLE -> TRAFFIC-ACCIDENT-NON INJURY,2,0.022727273
1,TRAFFIC-ACCIDENT INJURY -> MISSING PERSON,2,0.022727273
1,TRAFFIC-ACCIDENT-NON INJURY -> TOWED/STORED VEH-14602.6,2,0.022727273
1,VANDALISM - I RPT -> 10851(A)VC TAKE VEH W/O OWNER,2,0.022727273
1,10851 VC AUTO THEFT LOCATE -> 10851(A)VC TAKE VEH W/O OWNER,1,0.011363636
1,10851 VC AUTO THEFT LOCATE -> 1708 US   THEFT OF MAIL,1,0.011363636
1,10851 VC AUTO THEFT LOCATE -> 417(A)2) PC BRANDISH FIREARM,1,0.011363636
1,10851 VC AUTO THEFT LOCATE -> 459 PC  BURGLARY VEHICLE,1,0.011363636
1,10851(A)VC TAKE VEH W/O OWNER -> 10851 VC AUTO THEFT LOCATE,1,0.011363636
1,10851(A)VC TAKE VEH W/O OWNER -> 11350(B)HS POSSESS QUAALUDES,1,0.011363636
1,10851(A)VC TAKE VEH W/O OWNER -> 11351 HS POSS/SALE OPIATE/NARC,1,0.011363636
1,10851(A)VC TAKE VEH W/O OWNER -> 166(A)(4) WILFUL DISOBEY CT OR,1,0.011363636
1,10851(A)VC TAKE VEH W/O OWNER -> 20002(A) HIT/RUN,1,0.011363636
1,10851(A)VC TAKE VEH W/O OWNER -> 246 PC SHOOT OCCUP DWELL/VEH,1,0.011363636
1,10851(A)VC TAKE VEH W/O OWNER -> 247(B) PC SHOOT UNOCC BLDG/VEH,1,0.011363636
1,10851(A)VC TAKE VEH W/O OWNER -> 273.6(A) PC VIO DV COURT ORDER,1,0.011363636
1,10851(A)VC TAKE VEH W/O OWNER -> 459 PC  BURGLARY RESIDENCE,1,0.011363636
1,10851(A)VC TAKE VEH W/O OWNER -> 484 PC  PETTY THEFT AUTO PART,1,0.011363636
1,10851(A)VC TAKE VEH W/O OWNER -> 484 PETTY THEFT-SHOPLIFT,1,0.011363636
1,10851(A)VC TAKE VEH W/O OWNER -> 487(A) GRAND THEFT-CLOUT-UNLOC,1,0.011363636
1,10851(A)VC TAKE VEH W/O OWNER -> 530.5 PC USE PERSONAL ID INFO,1,0.011363636
1,10851(A)VC TAKE VEH W/O OWNER -> 532 PC FRAUD OBTAIN MONEY ETC,1,0.011363636
1,10851(A)VC TAKE VEH W/O OWNER -> FRAUD OR BUNCO - I RPT,1,0.011363636
1,10851(A)VC TAKE VEH W/O OWNER -> HARASSMENT - I RPT,1,0.011363636
1,10851(A)VC TAKE VEH W/O OWNER -> POSSIBLE FINANCIAL CRIME-I RPT,1,0.011363636
1,10851(A)VC TAKE VEH W/O OWNER -> ROBBERY - I RPT,1,0.011363636
1,10851(A)VC TAKE VEH W/O OWNER -> THREATS - I RPT,1,0.011363636
1,10851(A)VC TAKE VEH W/O OWNER -> TRAFFIC-ACCIDENT INJURY,1,0.011363636
1,10852 VC VEHICLE TAMPERING -> 211 PC ROBBERY-PURSE SNATCH,1,0.011363636
1,10852 VC VEHICLE TAMPERING -> TOWED/STORED VEHICLE,1,0.011363636
1,11350(A)HS POSS CNTRL SUBST -> 242 PC  BATTERY CIVILIAN,1,0.011363636
1,11350(A)HS POSS CNTRL SUBST -> 459 PC  BURGLARY VEHICLE,1,0.011363636
1,11350(A)HS POSS CNTRL SUBST -> PROB VIOLA/FEL-MISD - I RPT,1,0.011363636
1,11351 HS POSS/SALE OPIATE/NARC -> 10851(A)VC TAKE VEH W/O OWNER,1,0.011363636
1,11351 HS POSS/SALE OPIATE/NARC -> 211 PC ROBBERY-PURSE SNATCH,1,0.011363636
