"district","ep","cases_with_ep","support"
1,"11364 HS POSS DRUG PARAPH -> 594(B)(2)(A) VANDALISM/ -$400",1,0.0113636363636364
1,"11364 HS POSS DRUG PARAPH -> THREATS - I RPT",1,0.0113636363636364
1,"11377(A)HS POSS AMPHETAMINES -> 10851(A)VC TAKE VEH W/O OWNER",1,0.0113636363636364
1,"12022.1 PC COMMIT FEL ON BAIL -> 242 PC  BATTERY CIVILIAN",1,0.0113636363636364
1,"12022.1 PC COMMIT FEL ON BAIL -> 487(A) PC GRAND THEFT",1,0.0113636363636364
1,"148.1(A)PC FALSE REPT OF BOMB -> 459 PC  BURGLARY RESIDENCE",1,0.0113636363636364
1,"1708 US   THEFT OF MAIL -> 20002(A) HIT/RUN",1,0.0113636363636364
1,"1708 US   THEFT OF MAIL -> 459 PC  BURGLARY VEHICLE",1,0.0113636363636364
1,"1708 US   THEFT OF MAIL -> 484J PC PUBLISH CARD INFO",1,0.0113636363636364
1,"20002(A) HIT/RUN -> 10851 VC AUTO THEFT LOCATE",1,0.0113636363636364
1,"20002(A) HIT/RUN -> 594(B)(2)(A) VANDALISM/ -$400",1,0.0113636363636364
1,"211 PC  ROBBERY UNSPECIFIED -> 10851(A)VC TAKE VEH W/O OWNER",1,0.0113636363636364
1,"211 PC  ROBBERY UNSPECIFIED -> 11351 HS POSS/SALE OPIATE/NARC",1,0.0113636363636364
1,"211 PC  ROBBERY UNSPECIFIED -> 594(B)(1)PC  VANDALISM +$400",1,0.0113636363636364
1,"211 PC ROBBERY- BUSINESS -> 245(A)(1)AWDW/NO FIREARM/CIVIL",1,0.0113636363636364
1,"211 PC ROBBERY- BUSINESS -> ACCIDENTAL FIRES/ARSON -I RPT",1,0.0113636363636364
1,"211 PC ROBBERY-PURSE SNATCH -> POSSIBLE MENTAL - I RPT",1,0.0113636363636364
1,"215(A) PC    CARJACKING -> 246 PC SHOOT OCCUP DWELL/VEH",1,0.0113636363636364
1,"215(A) PC    CARJACKING -> 459 PC  BURGLARY VEHICLE",1,0.0113636363636364
1,"23152(A) VC DUI-ALCOHOL/DRUGS -> 459 PC  BURGLARY VEHICLE",1,0.0113636363636364
1,"23152(A) VC DUI-ALCOHOL/DRUGS -> TOWED/STORED VEHICLE",1,0.0113636363636364
1,"23222(B)POSSESS MARIJ IN VEH -> 10851(A)VC TAKE VEH W/O OWNER",1,0.0113636363636364
