"ep","cases_with_ep","support"
"10851(A)VC TAKE VEH W/O OWNER -> 10851(A)VC TAKE VEH W/O OWNER",222,0.366336633663366
"10851(A)VC TAKE VEH W/O OWNER -> 459 PC  BURGLARY VEHICLE",217,0.358085808580858
"10851(A)VC TAKE VEH W/O OWNER -> TOWED/STORED VEH-14602.6",169,0.278877887788779
"10851(A)VC TAKE VEH W/O OWNER -> 459 PC  BURGLARY RESIDENCE",163,0.268976897689769
"10851(A)VC TAKE VEH W/O OWNER -> TOWED/STORED VEHICLE",162,0.267326732673267
"459 PC  BURGLARY VEHICLE -> 459 PC  BURGLARY VEHICLE",162,0.267326732673267
"10851(A)VC TAKE VEH W/O OWNER -> 594(B)(2)(A) VANDALISM/ -$400",161,0.265676567656766
"459 PC  BURGLARY VEHICLE -> 10851(A)VC TAKE VEH W/O OWNER",155,0.255775577557756
"TOWED/STORED VEHICLE -> TOWED/STORED VEHICLE",145,0.239273927392739
"10851(A)VC TAKE VEH W/O OWNER -> TRAFFIC-ACCIDENT-NON INJURY",138,0.227722772277228
"TOWED/STORED VEHICLE -> 10851(A)VC TAKE VEH W/O OWNER",138,0.227722772277228
"TOWED/STORED VEHICLE -> 459 PC  BURGLARY VEHICLE",134,0.221122112211221
"10851(A)VC TAKE VEH W/O OWNER -> MISSING PERSON",133,0.219471947194719
"TOWED/STORED VEHICLE -> TOWED/STORED VEH-14602.6",131,0.216171617161716
"459 PC  BURGLARY RESIDENCE -> 459 PC  BURGLARY VEHICLE",130,0.214521452145215
"459 PC  BURGLARY RESIDENCE -> TOWED/STORED VEHICLE",130,0.214521452145215
"459 PC  BURGLARY RESIDENCE -> 10851(A)VC TAKE VEH W/O OWNER",129,0.212871287128713
"10851(A)VC TAKE VEH W/O OWNER -> 10851 VC AUTO THEFT LOCATE",127,0.20957095709571
"10851(A)VC TAKE VEH W/O OWNER -> TRAFFIC-ACCIDENT INJURY",127,0.20957095709571
"459 PC  BURGLARY RESIDENCE -> TOWED/STORED VEH-14602.6",127,0.20957095709571
"TOWED/STORED VEH-14602.6 -> TOWED/STORED VEHICLE",127,0.20957095709571
"10851(A)VC TAKE VEH W/O OWNER -> 459 PC  BURGLARY BUSINESS",126,0.207920792079208
"TOWED/STORED VEH-14602.6 -> TOWED/STORED VEH-14602.6",124,0.204620462046205
"10851(A)VC TAKE VEH W/O OWNER -> CASUALTY REPORT",119,0.196369636963696
"TOWED/STORED VEH-14602.6 -> 10851(A)VC TAKE VEH W/O OWNER",118,0.194719471947195
"TOWED/STORED VEH-14602.6 -> 459 PC  BURGLARY VEHICLE",117,0.193069306930693
"10851(A)VC TAKE VEH W/O OWNER -> 11364 HS POSS DRUG PARAPH",115,0.18976897689769
"TOWED/STORED VEHICLE -> 459 PC  BURGLARY RESIDENCE",115,0.18976897689769
"459 PC  BURGLARY VEHICLE -> TOWED/STORED VEHICLE",113,0.186468646864686
"10851(A)VC TAKE VEH W/O OWNER -> 484 PETTY THEFT/LICENSE PLATE",112,0.184818481848185
"459 PC  BURGLARY VEHICLE -> 459 PC  BURGLARY RESIDENCE",111,0.183168316831683
"459 PC  BURGLARY RESIDENCE -> 459 PC  BURGLARY RESIDENCE",108,0.178217821782178
"TOWED/STORED VEHICLE -> 10851 VC AUTO THEFT LOCATE",104,0.171617161716172
"10851(A)VC TAKE VEH W/O OWNER -> 211 PC  ROBBERY UNSPECIFIED",102,0.168316831683168
"10851(A)VC TAKE VEH W/O OWNER -> 594(B)(1)PC  VANDALISM +$400",101,0.166666666666667
"10851 VC AUTO THEFT LOCATE -> 10851(A)VC TAKE VEH W/O OWNER",100,0.165016501650165
"459 PC  BURGLARY VEHICLE -> TOWED/STORED VEH-14602.6",100,0.165016501650165
"459 PC  BURGLARY RESIDENCE -> 594(B)(2)(A) VANDALISM/ -$400",99,0.163366336633663
"TOWED/STORED VEH-14602.6 -> 459 PC  BURGLARY RESIDENCE",98,0.161716171617162
"10851(A)VC TAKE VEH W/O OWNER -> 23152(A) VC DUI-ALCOHOL/DRUGS",96,0.158415841584158
"459 PC  BURGLARY VEHICLE -> 594(B)(2)(A) VANDALISM/ -$400",96,0.158415841584158
"10851(A)VC TAKE VEH W/O OWNER -> 20002(A) HIT/RUN",95,0.156765676567657
"10851(A)VC TAKE VEH W/O OWNER -> 5150 WI DANGER SELF/OTHERS",95,0.156765676567657
"594(B)(2)(A) VANDALISM/ -$400 -> 10851(A)VC TAKE VEH W/O OWNER",94,0.155115511551155
"594(B)(2)(A) VANDALISM/ -$400 -> 459 PC  BURGLARY VEHICLE",94,0.155115511551155
"10851 VC AUTO THEFT LOCATE -> TOWED/STORED VEH-14602.6",93,0.153465346534653
"459 PC  BURGLARY VEHICLE -> MISSING PERSON",91,0.15016501650165
"459 PC  BURGLARY VEHICLE -> 459 PC  BURGLARY BUSINESS",90,0.148514851485149
"MISSING PERSON -> 10851(A)VC TAKE VEH W/O OWNER",90,0.148514851485149
"10851 VC AUTO THEFT LOCATE -> TOWED/STORED VEHICLE",89,0.146864686468647
"10851(A)VC TAKE VEH W/O OWNER -> FOUND PROPERTY - I RPT",89,0.146864686468647
"459 PC  BURGLARY RESIDENCE -> MISSING PERSON",89,0.146864686468647
"459 PC  BURGLARY VEHICLE -> TRAFFIC-ACCIDENT INJURY",89,0.146864686468647
"TOWED/STORED VEH-14602.6 -> 10851 VC AUTO THEFT LOCATE",89,0.146864686468647
