PctUrbOp2011Cat,PctUrbLo2011Cat,PctUrbMd2011Cat,PctUrbHi2011Cat,PctBl2011Cat,PctDecid2011Cat,PctConif2011Cat,PctMxFst2011Cat,PctShrb2011Cat,PctGrs2011Cat,PctHay2011Cat,PctCrop2011Cat,PctWdWet2011Cat,PctHbWet2011Cat,PctOw2011Ws
3.097893432,1.239157373,0,0,0,0,0,0,0,0,0,36.30731103,50.06195787,0,9.293680297
2.927042377,3.451288772,1.703800786,0.480559196,0,1.26692879,0.0436872,0.174748799,0,0.131061599,4.456094364,46.39580603,13.0624727,1.179554391,22.88438617
1.784386617,0.483271375,0.037174721,0,0.111524164,6.840148699,5.910780669,2.82527881,1.821561338,1.895910781,66.65427509,0,5.427509294,1.672862454,2.109038737
0,0.806451613,0,0,0,0.268817204,0,0,0,0,0,0,72.84946237,0.806451613,0.524708085
1.170727987,0.877092629,0.491934561,0.102963048,0.072455478,0,0.453800099,0,55.99664417,39.36620524,0,0,0.022880677,0,1.445296114
12.42018851,12.67862572,16.31194892,4.363028276,0.030404378,0,1.748251748,0,36.75889328,0.182426269,0,0,1.03374886,1.611432046,1.215015921
1.525454057,1.248098774,0.210253199,0.022367362,0,0,65.41111211,0,16.49816588,0.380245146,0,0,0,0.004473472,2.198037419
7.46284965,18.99038462,61.07954545,10.04152098,0,0,0,0,0.043706294,0,0,0,0,0,2.381993007
13.03499233,10.42102328,9.263906315,1.171058135,0.132441099,0,27.82657187,0,32.62233375,1.275616897,0.473999721,0,0.104558762,0.041823505,0.727097428
0.585429315,0.173460538,0.151777971,0.021682567,0,0,0.693842151,0,69.47094536,0.411968777,0,0,0,0,5.328647033
0,0,0,0,0,0,39.09574468,0,20.94414894,0.265957447,0,0,0,0,1.906763372
0.320219579,1.989935956,0.457456542,0,0,0.022872827,0,0,2.630375114,0,0.228728271,52.37877402,12.6715462,17.36047575,11.93961574
0.212240655,0.623727639,0.168926236,0.02165721,0.043314419,0,0.077965955,0,74.7780136,3.785680253,0,0,0.541430242,1.602633517,0.313024146
2.29,0.73,0,0,0,0,56.64,0,5.52,0.31,0,0,0,0,0.86
0.594574508,1.114827202,0.854700855,0.408769974,0.371609067,0,2.415458937,0,68.22742475,2.26681531,0,0,1.374953549,0.22296544,0.525499922
0,0.131882624,0.098911968,0,0,0,28.18991098,0,45.0049456,0.494559842,0,0,0,0,2.296130992
0.077101002,0,0,0,0.038550501,0,91.51888975,0,0.771010023,0.038550501,0,0,0,0.038550501,1.712328767
1.736158578,0.915926179,0.08202324,0,0.01367054,0,56.60970608,0,28.07928913,0.751879699,0,0,0.30075188,3.923444976,0.309486034
0.591715976,4.733727811,66.56804734,13.60946746,0,0,0,0,0.591715976,0,0,0,0,0,13.90532544
0,0,0,0,1.894736842,0,0,0,29.68421053,0.631578947,0.421052632,0,36.21052632,6.315789474,0.424689581
0.038976225,0.012992075,0,0,0,0,93.73781993,0,4.001559049,0.519682993,0,0,0.064960374,0.064960374,1.55904898
4.099560761,0.170815032,0,0,0,0,45.75402635,0,13.25036603,23.45046364,0,0,0.170815032,2.855051245,0.526560322
0,0,0,0,0,0,51.53374233,0,13.49693252,6.441717791,0,0,2.760736196,0.613496933,25.15337423
17.36244621,32.67875126,33.6949556,7.0768104,0,0,0,0,8.253227135,0,0,0.581342122,0,0,0.310578812
0.192520378,0.602138205,0.233482161,0.02457707,22.90582886,0.004096178,0,0,56.26100848,2.961536886,0.737312088,0.106500635,5.058780158,2.130012698,3.400334377
4.913483513,0.32647731,0,0,0,0,92.03395364,0,0.081619327,0,0,0,0,0,2.64446621
5.321285141,6.325301205,2.108433735,0.100401606,0,0,0,0,0.602409639,0,0,6.425702811,1.506024096,0,76.94545455
20.27310924,26.47058824,20.79831933,1.680672269,0,0,0.840336134,1.260504202,1.155462185,4.621848739,0,0,0,0,1.760072273
16.53384542,10.89774364,3.322131541,0.604896783,0,0,0,0,52.2131541,6.913106097,0,0,0.134421507,0.508881421,8.871819491
3.938115331,26.58227848,40.22503516,2.53164557,0,0,0,0,0,0,0,0,0,0.281293952,26.4416315
0.69215557,0.725115359,0.659195781,0.131839156,0,0,0,0.032959789,1.153592617,71.19314436,0,0.889914305,1.977587343,0.263678312,14.08333333
0.148611111,0.595833333,0.226388889,0.038888889,0.051388889,0,0.429166667,0,58.46111111,0.147222222,0,0,1.369444444,10.95972222,2.304724758
3.058280439,26.42815926,37.33410271,0.288517023,0,0,0,0,9.405654934,5.193306405,0,0,2.135025967,0.807847663,0.95450025
12.51606684,0.626606684,0.064267352,0.016066838,0.064267352,3.502570694,55.59125964,3.37403599,2.120822622,5.302056555,0,0,0.787275064,0,1.193790451
8.013544018,4.589917231,0.564334086,0.037622272,0,1.429646351,30.17306245,0,43.34085779,0.413844996,0,0,0,0,0.243794326
0,0,0,0,0,0,90.62146893,0,0,0,0,0,0.338983051,0,4.837769575
9.090909091,0,49.09090909,0,1.818181818,0,0,0,0,0,0,0,0,0,40
2.830188679,14.1509434,32.0754717,18.86792453,0,0,0,0,0,0,0,0,0,0,32.0754717
